user_id,device_number,query_time,area_id,out_tag,query_staff,query_channel,limit_remark
U00001,13000000001,2026-03-21 17:45:17,110000,1,S140,短信,无限制
U00002,13000000002,2026-03-24 17:45:17,310000,1,S190,营业厅,无限制
U00003,13000000003,2026-03-24 17:45:17,440000,1,S170,营业厅,无限制
U00004,13000000004,2026-03-21 17:45:17,320000,1,S196,客服,无限制
U00005,13000000005,2026-03-23 17:45:17,510000,1,S174,短信,无限制
U00006,13000000006,2026-03-19 17:45:17,330000,1,S152,客服,无限制
U00007,13000000007,2026-03-23 17:45:17,120000,1,S162,客服,无限制
U00008,13000000008,2026-03-19 17:45:17,110000,1,S191,短信,无限制
U00009,13000000009,2026-03-17 17:45:17,310000,1,S136,客服,无限制
U00010,13000000010,2026-03-19 17:45:17,440000,1,S150,APP,无限制
U00011,13000000011,2026-02-27 17:45:17,320000,1,S175,APP,无限制
U00012,13000000012,2026-03-22 17:45:17,510000,1,S147,短信,无限制
U00013,13000000013,2026-03-08 17:45:17,330000,1,S171,客服,无限制
U00014,13000000014,2026-02-22 17:45:17,120000,1,S192,APP,无限制
U00015,13000000015,2026-03-15 17:45:17,110000,1,S145,APP,无限制
U00016,13000000016,2026-03-10 17:45:17,310000,1,S125,短信,无限制
U00017,13000000017,2026-02-23 17:45:17,440000,1,S105,APP,无限制
U00018,13000000018,2026-02-24 17:45:17,320000,1,S122,短信,无限制
U00019,13000000019,2026-03-04 17:45:17,510000,1,S156,APP,无限制
U00020,13000000020,2026-03-07 17:45:17,330000,1,S184,短信,无限制
U00021,13000000021,2026-02-24 17:45:17,120000,1,S194,短信,无限制
U00022,13000000022,2026-03-06 17:45:17,110000,1,S181,客服,无限制
U00023,13000000023,2026-02-27 17:45:17,310000,1,S110,短信,无限制
U00024,13000000024,2026-03-08 17:45:17,440000,1,S167,客服,无限制
U00025,13000000025,2026-03-23 17:45:17,320000,1,S108,短信,无限制
U00053,13000000053,2026-03-21 17:45:17,320000,0,S127,短信,欠费
U00076,13000000076,2026-03-05 17:45:17,330000,0,S160,短信,欠费
U00078,13000000078,2026-03-02 17:45:17,110000,0,S174,客服,欠费
U00298,13000000298,2026-03-02 17:45:17,320000,0,S131,客服,欠费
U00155,13000000155,2026-03-21 17:45:17,110000,1,S158,客服,无限制
U00191,13000000191,2026-03-22 17:45:17,310000,0,S135,APP,合约未到期
U00116,13000000116,2026-02-21 17:45:17,320000,0,S184,营业厅,合约未到期
U00071,13000000071,2026-02-14 17:45:17,110000,1,S126,客服,无限制
U00243,13000000243,2026-02-15 17:45:17,510000,0,S158,APP,合约未到期
U00062,13000000062,2026-02-19 17:45:17,330000,1,S116,营业厅,无限制
U00179,13000000179,2026-01-30 17:45:17,320000,0,S178,APP,合约未到期
U00063,13000000063,2026-01-25 17:45:17,120000,1,S118,APP,无限制
U00271,13000000271,2026-03-23 17:45:17,510000,1,S146,APP,无限制
U00198,13000000198,2026-02-11 17:45:17,310000,1,S160,客服,无限制
U00222,13000000222,2026-02-05 17:45:17,510000,1,S128,APP,无限制
U00261,13000000261,2026-03-11 17:45:17,310000,1,S195,营业厅,无限制
U00262,13000000262,2026-03-07 17:45:17,440000,0,S153,客服,欠费
U00159,13000000159,2026-01-29 17:45:17,510000,1,S139,短信,无限制
U00064,13000000064,2026-03-01 17:45:17,110000,0,S197,短信,绑定宽带
