sheet_id,device_number,is_turn,serv_content,accept_time,solved_result,cust_satisfaction
S001,13000000001,是,客服态度,2026-02-28 17:45:17,处理中,一般
S002,13000000001,是,客服态度,2026-02-25 17:45:17,已解决,一般
S003,13000000002,是,流量不够,2026-03-23 17:45:17,处理中,不满意
S004,13000000002,是,携转咨询,2026-03-12 17:45:17,处理中,不满意
S005,13000000002,是,携转咨询,2026-03-10 17:45:17,已解决,不满意
S006,13000000003,是,信号差,2026-03-03 17:45:17,已解决,一般
S007,13000000003,是,流量不够,2026-03-22 17:45:17,处理中,不满意
S008,13000000004,是,信号差,2026-03-09 17:45:17,已解决,不满意
S009,13000000004,是,客服态度,2026-03-03 17:45:17,处理中,一般
S010,13000000005,是,客服态度,2026-03-09 17:45:17,处理中,不满意
S011,13000000005,是,携转咨询,2026-03-21 17:45:17,已解决,一般
S012,13000000006,是,信号差,2026-03-03 17:45:17,已解决,一般
S013,13000000006,是,客服态度,2026-03-13 17:45:17,处理中,一般
S014,13000000006,是,流量不够,2026-03-06 17:45:17,处理中,一般
S015,13000000007,是,信号差,2026-03-11 17:45:17,已解决,不满意
S016,13000000007,是,信号差,2026-03-04 17:45:17,处理中,不满意
S017,13000000007,是,客服态度,2026-02-26 17:45:17,处理中,一般
S018,13000000008,是,客服态度,2026-03-23 17:45:17,已解决,一般
S019,13000000008,是,流量不够,2026-03-03 17:45:17,处理中,不满意
S020,13000000008,是,携转咨询,2026-03-18 17:45:17,已解决,不满意
S021,13000000009,是,账单疑问,2026-02-26 17:45:17,处理中,不满意
S022,13000000009,是,流量不够,2026-03-17 17:45:17,已解决,一般
S023,13000000010,是,流量不够,2026-02-28 17:45:17,已解决,一般
S024,13000000010,是,账单疑问,2026-02-22 17:45:17,已解决,不满意
S025,13000000010,是,客服态度,2026-03-14 17:45:17,处理中,一般
S026,13000000011,是,携转咨询,2026-01-24 17:45:17,处理中,一般
S027,13000000012,是,账单疑问,2026-01-27 17:45:17,已解决,满意
S028,13000000013,是,网速慢,2026-02-24 17:45:17,已解决,满意
S029,13000000014,是,网速慢,2026-02-02 17:45:17,已解决,一般
S030,13000000015,是,携转咨询,2026-02-21 17:45:17,已解决,一般
S031,13000000016,是,账单疑问,2026-02-11 17:45:17,处理中,满意
S032,13000000017,是,携转咨询,2026-02-13 17:45:17,处理中,一般
S033,13000000018,是,携转咨询,2026-01-30 17:45:17,处理中,一般
S034,13000000019,是,网速慢,2026-01-31 17:45:17,处理中,满意
S035,13000000020,是,网速慢,2026-03-09 17:45:17,已解决,一般
S036,13000000021,是,账单疑问,2026-02-15 17:45:17,处理中,一般
S037,13000000022,是,网速慢,2026-02-14 17:45:17,处理中,一般
S038,13000000023,是,客服态度,2026-03-06 17:45:17,已解决,一般
S039,13000000024,是,携转咨询,2026-02-13 17:45:17,处理中,满意
S040,13000000025,是,客服态度,2026-03-01 17:45:17,处理中,一般
